Dados de Registros de Patentes e Propriedade Intelectual;;;;;;;;;
ID;TITULO;SITUAÇÃO;DATA DO DEPÓSITO;DATA DE VALIDADE DA PATENTE;N° DE REGISTRO JUNTO AO INPI ;N° DA PATENTE / CÓDIGO;TITULARES;COTITULARES;INVENTOR
18;Produção de eps e sua aplicação na sorção de metais;Vigente;13/12/2017;13/12/2037;BR 10 2017 026937 0;BR 10 2017 026937 0;CETEM;UFRJ;Natalia Franco Taketani / Cláudia Duarte da Cunha / Selma Gomes Ferreira Leite / Andrea Camardella de Lima Rizzo / Diogo Simas Bernardes Dias
19;Processo de obtenção de piso gerador de energia a partir de resíduos do corte de rochas ornamentais ;Vigente;29/09/2017;29/09/2037;BR 10 2017 021019 7;BR 10 2017 021019 7;CETEM;INT;Roberto Carlos da Conceição Ribeiro / Marcia Gomes de Oliveira 
20;Processo contínuo para separação de terras-raras leves ;Carta;14/10/2016;14/10/2036;BR 10 2016 023957 5;BR 10 2016 023957 5;CETEM;CETEM;Ysrael Marrero Vera / Rafael de Carvalho Gomes / Luciana Amaral Seruff / Maíra Labanca Waineraich Scal 
21;Processo de formação de papel braille polimérico utilizando como carga resíduos gerados na lavra e no beneficiamento de rochas ornamentais ;Carta;14/04/2016;14/04/2036;BR 10 2016 008285 4;BR 10 2016 008285 4;CETEM;INT;Roberto Carlos da Conceição Ribeiro / Márcia Gomes de Oliveira / Natielly Andressa da Silva Souza 
22;Equipamento para simulação de polimento de rochas ornamentais ;Carta;17/12/2015;17/12/2035;BR 10 2015 031693 3;BR 10 2015 031693 3;CETEM;CETEM;Leonardo Luiz Lyrio da Silveira / Gerson Ferri / Vagner Moro Ferreira Leitão 
23;Polipropileno com resíduos de rochas ornamentais para a produção de armação de óculos;Vigente;30/07/2015;30/07/2035;BR 10 2015 018244 9;BR 10 2015 018244 9;CETEM;INT;Roberto Carlos da Conceição Ribeiro / Marcia Gomes de Oliveira / Fernanda Veloso de Carvalho
24;Processos de formação de tubetes e/ou vasos poliméricos agrícolas utilizando como carga resíduos minerais ;Carta;30/07/2015;30/07/2035;BR 10 2015 018246 5;BR 10 2015 018246 5;CETEM;INT;Roberto Carlos da Conceição Ribeiro / Marcia Gomes de Oliveira 
25;Processo e composição para produção de papel polimérico ;Carta;24/07/2013;24/07/2033;BR 10 2013 018881 6;BR 10 2013 018881 6;CETEM;INT;Marcia Gomes de Oliveira / Roberto Carlos da Conceição Ribeiro / Marceli Nascimento da Conceição 
26;Processo de clarificação de óleos usando a paligorsquita ativada termicamente ;Carta;08/05/2013;08/05/2033;BR 10 2013 013761 8;BR 10 2013 013761 8;CETEM;Itaoeste Serviços e Participações LTDA;Edson Cavalcanti da Silva Filho / Katiane Cruz Magalhães Xavier / Maria Rita de Morais Chaves Santos / Adão Benvindo da Luz 
27;Processo de redução do teor de sílica reativa contida em bauxita para posterior utilização no processo bayer ;Vigente;01/03/2012;01/03/2032;BR 10 2012 004629 6;BR 10 2012 004629 6;CETEM;UFRJ;Francisco Manoel Dos Santos Garrido / Marta Eloisa Medeiros / Fernanda Arruda Nogueira Gomes da Silva / Carla Napoli Barbato / João Alves Sampaio
28;Processo de formação de compósitos poliméricos utilizando como carga resíduos gerados na lavra e no beneficiamento de rochas ornamentais ;Carta;22/12/2011;22/12/2031;PI 1105757-2;PI 1105757-2;CETEM;INT;Marcia Gomes de Oliveira / Roberto Carlos da Conceição Ribeiro / Camila Maria Rosa Arruda / Francisco Wilson Hollanda Vidal / Regina Coeli Casseres Carriso / Larissa Ribeiro de Souza 
29;Processo de formação de rocha artificial constituída de resíduos de rochas ornamentais carbonatadas com resina vegetal e um sistema piezoelétrico interligado entre a referida rocha e a tela de vidro traseira capaz de gerar e acumular energia com um sistema Arduíno associado;Vigente;04/07/2025;24/07/2045;BR 10 2025 015439 0;BR 10 2025 015439 0;CETEM;CETEM;Roberto Carlos da Conceição Ribeiro / Lucar Marques Palermo de Aguiar / Marceli do Nascimento da Conceição / Williane Gomes de Figueiredo / Pedro Paulo Cardoso Lima
30;Processo de formação dormente ferroviário constituído de resina, vegetal ou não,  e resíduos de aciaria misturado com argilas 2:1;Vigente;18/09/2025;18/09/2045;BR 10 2025 019994 7;BR 10 2025 019994 7;CETEM;CETEM;Roberto Carlos da Conceição Ribeiro / Laura Oliveira Gomes
31;Processo de formação dormente ferroviário constituído de resina, vegetal ou não,  e resíduos de aciaria misturado com argilas 2:1;Vigente;24/06/2005;24/06/2025;PI 0503121-4;PI 0503121-4;CETEM;EMBRAPA;Roberto Carlos da Conceição Ribeiro / Laura Oliveira Gomes
